computeID,SigmaID,Sigma#,DisAxis U,DisAxis V,DisAxis W,DisAngle,Rvec 1,Rvec 2,Rvec 3,BP N1,BP N2,BP N3,planeID,BPFZ A N1,BPFZ A N2,BPFZ A N3,BPFZ B N1,BPFZ B N2,BPFZ B N3,BPFZ Stereo X,BPFZ Stereo Y,A11,A12,A13,A21,A22,A23,A31,A32,A33,B11,B12,B13,B21,B22,B23,B31,B32,B33,numStructsMinimized,minEnergyStructID,minGBenergy,minEnergyStructFname
S73b_fcc_Nn188_n177_66_Al_M99_210716,73b,73,1,1,0,13.4427387,0.0833333,0.0833333,0,-188,-177,66,S73b_fcc_n-188_-177_66,188,177,66,-177,-188,-66,0.1266792,0,6,-6,1,3,8,30,-188,-177,66,6,-6,-1,8,3,30,-177,-188,66,1114,120,465,struct_S73b_fcc_Nn188_n177_66_Al_M99_210716.120.out
S229j_fcc_Nn137_n125_177_Al_M99_210712,229j,229,6,6,5,54.8009187,0.3157895,0.3157895,0.2631579,-137,-125,177,S229j_fcc_n-137_-125_177,43,-235,93,137,125,-177,-0.1925349,0.6149482,-6,-9,-11,424,-367,69,-137,-125,177,-9,-6,-11,449,-52,-339,43,-235,93,6845,3015,474,struct_S229j_fcc_Nn137_n125_177_Al_M99_210712.3015.out
S99c_fcc_N35_25_41_Al_M99_210721,99c,99,4,3,2,45.002923,0.3076923,0.2307692,0.1538462,35,25,41,S99c_fcc_n35_25_41,139,43,103,-35,-25,-41,0.1425574,-0.1302002,-8,3,5,2,-503,305,35,25,41,-5,-3,8,653,-1627,-202,139,43,103,4058,4133,458,struct_S99c_fcc_N35_25_41_Al_M99_210721.4133.out
S99c_fcc_Nn20_47_19_Al_M99_200714,99c,99,4,3,2,45.002923,0.3076923,0.2307692,0.1538462,-20,47,19,S99c_fcc_n-20_47_19,-15,21,48,20,-47,-19,-0.3539991,-0.60844,-8,-3,-1,5,-86,218,-20,47,19,-7,-5,0,40,-56,37,-5,7,16,5922,4959,519,struct_S99c_fcc_Nn20_47_19_Al_M99_200714.4959.out
S245d_fcc_Nn157_n26_20_Al_M99_200714,245d,245,6,3,2,36.8698976,0.2857143,0.1428571,0.0952381,-157,-26,20,S245d_fcc_n-157_-26_20,140,70,-35,-157,-26,20,0,0.2605358,2,-9,4,76,668,1465,-157,-26,20,4,-9,-2,13,-4,44,-4,-2,1,5937,3255,554,struct_S245d_fcc_Nn157_n26_20_Al_M99_200714.3255.out
S197c_fcc_Nn11_n46_18_Al_M99_200714,197c,197,7,3,1,31.7607144,0.2592593,0.1111111,0.037037,-11,-46,18,S197c_fcc_n-11_-46_18,6,50,5,-11,-46,18,-0.5716946,-0.0219698,4,1,5,-248,127,173,-11,-46,18,5,-1,4,-205,-1,256,-6,-50,-5,13375,4096,548,struct_S197c_fcc_Nn11_n46_18_Al_M99_200714.4096.out
S127b_fcc_N27_n31_183_Al_M99_200714,127b,127,4,3,2,39.4973913,0.2666667,0.2,0.1333333,27,-31,183,S127b_fcc_n27_-31_183,105,-95,123,-27,31,-183,0.5381119,-0.4032939,-10,9,3,-1740,-1911,-67,27,-31,183,-9,3,10,-1319,-2157,-540,105,-95,123,4928,4709,492,struct_S127b_fcc_N27_n31_183_Al_M99_200714.4709.out
S197g_fcc_Nn215_118_676_Al_M99_210630,197g,197,9,9,1,54.1055127,0.36,0.36,0.04,-215,118,676,S197g_fcc_n-215_118_676,248,-335,586,215,-118,-676,-0.018855,0.8701112,-50,-51,-7,6730,-7061,3373,-215,118,676,-51,-50,-7,6329,-5630,-5897,248,-335,586,1152,31,408,struct_S197g_fcc_Nn215_118_676_Al_M99_210630.31.out
S49b_fcc_N19_27_25_Al_M99_210715,49b,49,5,1,1,43.5735786,0.3846154,0.0769231,0.0769231,19,27,25,S49b_fcc_n19_27_25,-21,-7,-35,19,27,25,-0.5513356,0.5569331,-6,7,-3,-256,-93,295,19,27,25,-7,6,3,-27,-44,25,3,1,5,4545,1934,507,struct_S49b_fcc_N19_27_25_Al_M99_210715.1934.out
S105b_fcc_Nn10_n79_83_Al_M99_200714,105b,105,3,2,1,29.9264349,0.2142857,0.1428571,0.0714286,-10,-79,83,S105b_fcc_n-10_-79_83,-21,105,-42,-10,-79,83,-0.6919982,0.3590095,2,5,5,-15,4,2,-10,-79,83,1,1,2,-2,0,1,1,-5,2,3411,1198,540,struct_S105b_fcc_Nn10_n79_83_Al_M99_200714.1198.out
